,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
1125,Other,2,GREATER DUWAMISH,1976,1,47105,Manufacturing/Industrial Plant,45320.0,None,0.0,None,0.0,,225.8000031,10234721.0,0.0,4233850.0,6000871.0,348.22,7.39
1126,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1982,2,40029,Office,31800.0,Non-Refrigerated Warehouse,8200.0,None,0.0,69.0,39.40000153,1575328.25,0.0,1471914.0,0.0,10.26,0.26
1127,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1970,2,28304,Office,27185.0,None,0.0,None,0.0,67.0,48.70000076,1322894.5,0.0,1269367.0,0.0,8.85,0.31
1128,Other,2,GREATER DUWAMISH,1970,1,26400,Recreation,20560.0,Non-Refrigerated Warehouse,7200.0,None,0.0,,16.29999924,452612.5,0.0,452612.0,0.0,3.16,0.12
1129,Warehouse,2,GREATER DUWAMISH,1968,1,27680,Non-Refrigerated Warehouse,25000.0,Office,2680.0,None,0.0,,69.30000305,1918665.75,0.0,642420.0,1136012.0,64.81,2.34
1130,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1969,2,25872,Office,23272.0,Non-Refrigerated Warehouse,2600.0,None,0.0,,71.69999695,1853911.875,0.0,1064725.0,722394.0,45.79,1.77
1131,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1969,2,25872,Office,24988.0,None,0.0,None,0.0,41.0,100.0,2498335.25,0.0,985457.0,1413896.0,81.96,3.17
1132,Warehouse,2,GREATER DUWAMISH,1969,1,20500,Non-Refrigerated Warehouse,21386.0,None,0.0,None,0.0,65.0,10.39999962,222600.0938,0.0,222600.0,0.0,1.55,0.08
1133,Small- and Mid-Sized Office,4,LAKE UNION,1958,2,21436,Office,21436.0,None,0.0,None,0.0,95.0,26.10000038,558727.875,0.0,534704.0,0.0,3.73,0.17
1134,Mixed Use Property,3,NORTHEAST,1998,1,20233,Office,7245.0,Non-Refrigerated Warehouse,6644.0,Other,6344.0,,34.09999847,690322.6875,0.0,331967.0,298283.0,18.16,0.9
1136,Small- and Mid-Sized Office,6,LAKE UNION,2006,4,39926,Office,24335.0,Parking,12400.0,Retail Store,2575.0,,37.70000076,1039085.375,0.0,849654.0,161314.0,14.49,0.36
1139,Small- and Mid-Sized Office,4,LAKE UNION,1985,3,31417,Office,26295.0,Parking,12890.0,None,0.0,94.0,46.20000076,1214408.75,0.0,687472.0,438685.0,28.09,0.89
1142,Self-Storage Facility,7,DOWNTOWN,1928,6,46580,Self-Storage Facility,46580.0,None,0.0,None,0.0,,16.70000076,778702.125,0.0,710275.0,0.0,4.95,0.11
1144,Retail Store,7,DOWNTOWN,1916,2,25920,Retail Store,25920.0,None,0.0,None,0.0,5.0,18.5,478690.0938,0.0,478690.0,0.0,3.34,0.13
1146,Retail Store,7,DOWNTOWN,1919,2,25920,Retail Store,38880.0,None,0.0,None,0.0,93.0,26.89999962,1046976.813,0.0,867448.0,144219.0,13.71,0.53
1147,Hotel,7,DOWNTOWN,1910,8,61721,Hotel,61721.0,None,0.0,None,0.0,93.0,53.5,2968429.75,0.0,2534592.0,362488.0,36.92,0.6
1150,Small- and Mid-Sized Office,7,DOWNTOWN,1919,2,25920,Office,23995.0,None,0.0,None,0.0,75.0,81.09999847,1945839.625,0.0,1057542.0,736309.0,46.48,1.79
1154,Small- and Mid-Sized Office,3,EAST,1925,4,39760,Office,39760.0,None,0.0,None,0.0,92.0,69.0,2741556.25,1739620.75,512225.0,227114.0,149.91,3.77
1155,Other,3,EAST,1920,3,30971,Other,30971.0,None,0.0,None,0.0,,96.0,2974354.25,230989.2969,1314572.0,1277622.0,94.85,3.06
1156,Small- and Mid-Sized Office,3,EAST,1946,3,22667,Office,22667.0,None,0.0,None,0.0,1.0,182.6999969,4141811.25,1639341.375,1972293.0,155501.0,148.55,6.55
1158,Warehouse,6,LAKE UNION,1927,2,33840,Non-Refrigerated Warehouse,18740.0,Office,13660.0,Retail Store,1440.0,,69.09999847,2339649.75,0.0,1244691.0,982947.0,60.88,1.8
1161,Small- and Mid-Sized Office,6,LAKE UNION,2001,5,33740,Office,15908.0,Retail Store,8762.0,Parking,1500.0,79.0,52.29999924,1291405.25,0.0,1291405.0,0.0,9.0,0.27
1162,Retail Store,6,LAKE UNION,1911,2,20516,Retail Store,10155.0,Hotel,8000.0,None,0.0,98.0,61.09999847,1109483.125,0.0,264984.0,756812.0,42.04,2.05
1163,Retail Store,6,LAKE UNION,1906,3,27480,Retail Store,22218.0,Office,8668.0,None,0.0,88.0,39.29999924,1215156.25,0.0,1215156.0,0.0,8.47,0.31
1165,Mixed Use Property,6,LAKE UNION,1947,1,46958,Office,40313.0,Parking,33976.0,Bar/Nightclub,4579.0,95.0,38.70000076,1818867.875,0.0,1436548.0,382320.0,30.32,0.65
1166,Distribution Center,6,LAKE UNION,1984,1,26532,Distribution Center,26532.0,None,0.0,None,0.0,5.0,85.19999695,2261229.0,0.0,784585.0,1149639.0,66.53,2.51
